rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/n_updates,train/clip_fraction,train/clip_range,train/entropy_loss,train/value_loss,train/explained_variance,train/loss,train/min_reward,train/max_reward,train/mean_reward,eval/mean_reward,train/std_reward
0.5819778200000001,132.01,2878,52,36,106496,-0.08820377924421337,0.0001,0.16704032,510,0.48984375,0.2,-0.9174751825630665,0.0022855836712551538,0.5223904252052307,-0.10926004499197006,,,,,
0.59033259,138.07,2930,53,37,108544,-0.08265543362067547,0.0001,0.18299575,520,0.466357421875,0.2,-0.8685645749792457,0.002118598699235008,0.5658077299594879,-0.1260976791381836,,,,,
0.5931639400000001,144.64,2981,54,37,110592,-0.07900514001958073,0.0001,0.17707679,530,0.4771484375,0.2,-0.8544405277818441,0.002300676550657954,0.4486750364303589,-0.12275677919387817,,,,,
0.58608662,146.76,3033,55,37,112640,-0.08284027016779874,0.0001,0.1986979,540,0.4796875,0.2,-0.7901813205331564,0.001923939667904051,0.5979841351509094,-0.12639102339744568,,,,,
0.5955857999999999,151.55,3082,56,37,114688,-0.0795412617007969,0.0001,0.20119096,550,0.4693359375,0.2,-0.8057370787486434,0.002016188590823731,0.4634898900985718,-0.09733397513628006,,,,,
0.59463183,158.5,3133,57,37,116736,-0.08086105811526068,0.0001,0.22487712,560,0.467333984375,0.2,-0.7746334601193666,0.00193006455538125,0.5075241327285767,-0.046457111835479736,,,,,
0.60743125,165.48,3183,58,37,118784,-0.08038279713073279,0.0001,0.20111835,570,0.45634765625,0.2,-0.7167213315144181,0.002165417072501441,0.5155741572380066,-0.11375212669372559,,,,,
0.59886862,159.09,3233,59,37,120832,-0.08089112547750119,0.0001,0.21053861,580,0.4623046875,0.2,-0.7950028801336885,0.002081393245316576,0.5093206167221069,-0.10109297931194305,,,,,
0.59322592,153.87,3283,60,37,122880,-0.07537413777899929,0.0001,0.22325812,590,0.425390625,0.2,-0.6521371437236667,0.002649258528799692,0.4900283217430115,-0.09792792052030563,,,,,
0.60235451,152.67,3335,61,37,124928,-0.07283719743136316,0.0001,0.225741,600,0.414453125,0.2,-0.6337651073001325,0.0027195940958335994,0.5242104232311249,-0.11768607050180435,,,,,
0.60861426,147.22,3386,62,37,126976,-0.06653479329834226,0.0001,0.2091025,610,0.41240234375,0.2,-0.6299014956690371,0.002687085779143672,0.5160851776599884,-0.09673100709915161,,,,,
0.6226579999999999,153.18,3434,63,37,129024,-0.0721844957995927,0.0001,0.23251998,620,0.41884765625,0.2,-0.6382832312956452,0.0026584873636238625,0.5897358357906342,-0.11186046153306961,,,,,
0.61872501,153.65,3484,64,37,131072,-0.07293884675018489,0.0001,0.22360185,630,0.438623046875,0.2,-0.6656545290723443,0.0017801125570258592,0.6977875828742981,-0.09635836631059647,,,,,
0.62603599,161.42,3534,65,37,133120,-0.0798572322295513,0.0001,0.21713458,640,0.457861328125,0.2,-0.7576234888285398,0.0017147169091913383,0.68793585896492,-0.10766191780567169,,,,,
0.60668975,156.83,3584,66,37,135168,-0.07984976206644205,0.0001,0.22675999,650,0.481591796875,0.2,-0.7676495218649506,0.0018614451284520328,0.6213883757591248,-0.11792934685945511,,,,,
0.6023632000000001,156.53,3637,67,37,137216,-0.07773423240287229,0.0001,0.2473112,660,0.459521484375,0.2,-0.6879685240797698,0.0022269933962888898,0.5274653136730194,-0.11682716757059097,,,,,
0.61061111,161.05,3687,68,37,139264,-0.07174546249734703,0.0001,0.1942721,670,0.424169921875,0.2,-0.6585453918203712,0.002604690853149805,0.5613311529159546,-0.1082790344953537,,,,,
0.59400224,152.64,3739,69,37,141312,-0.07488780980638694,0.0001,0.2247664,680,0.433935546875,0.2,-0.6714845772832632,0.002358120148164744,0.6443124711513519,-0.09721255302429199,,,,,
0.5752308200000001,141.69,3788,70,37,143360,-0.07177437685895711,0.0001,0.21619827,690,0.4130859375,0.2,-0.582041637506336,0.0030338549511725434,0.5747778713703156,-0.12271434813737869,,,,,
0.54326181,109.56,3838,71,37,145408,-0.06769237833796068,0.0001,0.21851762,700,0.40791015625,0.2,-0.5758031127043068,0.002858875266974792,0.6375356316566467,-0.0912732407450676,,,,,
0.5764587200000001,109.18,3888,72,37,147456,-0.06572516643500421,0.0001,0.26059225,710,0.373779296875,0.2,-0.5126081922091543,0.003529242656986753,0.6065685451030731,-0.12476745992898941,,,,,
0.56079628,105.85,3939,73,37,149504,-0.07154565234959591,0.0001,0.25788474,720,0.392822265625,0.2,-0.555378845706582,0.0027923400293730083,0.6347493529319763,-0.11220081150531769,,,,,
0.5580784,102.9,3989,74,37,151552,-0.07361512607021722,0.0001,0.25291672,730,0.42744140625,0.2,-0.6290568828582763,0.002442753311333945,0.6961035132408142,-0.11214000731706619,,,,,
0.56457201,109.86,4041,75,38,153600,-0.06908174066920765,0.0001,0.23429441,740,0.393505859375,0.2,-0.5783918355591595,0.0031599860820278993,0.6847404539585114,-0.1025967076420784,,,,,
0.56916597,112.25,4091,76,38,155648,-0.07726544491015375,0.0001,0.2524776,750,0.438720703125,0.2,-0.6353116371668875,0.0027865131340149675,0.6122367978096008,-0.10461008548736572,,,,,
0.58982102,121.71,4141,77,38,157696,-0.0714950100693386,0.0001,0.24126036,760,0.43271484375,0.2,-0.6178103281185031,0.0022742562074199667,0.5737968385219574,-0.11167243868112564,,,,,
0.5795604099999999,122.81,4193,78,38,159744,-0.07430090694106184,0.0001,0.2534536,770,0.431640625,0.2,-0.6322770377621054,0.0023380553193419473,0.5814448297023773,-0.09762341529130936,,,,,
0.57725357,117.65,4244,79,38,161792,-0.06829965135548263,0.0001,0.22910106,780,0.39033203125,0.2,-0.5282039604149759,0.0025040507105586586,0.6201411783695221,-0.09803283214569092,,,,,
0.58623371,116.9,4296,80,38,163840,-0.0706508515169844,0.0001,0.2478272,790,0.41015625,0.2,-0.5708873721770942,0.002487530898361001,0.5605694055557251,-0.09369968622922897,,,,,
0.58655108,111.78,4346,81,38,165888,-0.07163123187492601,0.0001,0.3208385,800,0.407421875,0.2,-0.5633202550932765,0.0026222283064271323,0.5340504944324493,-0.11790842562913895,,,,,
0.58638415,105.2,4397,82,38,167936,-0.06857881257019471,0.0001,0.24565582,810,0.3947265625,0.2,-0.5421425439417362,0.0022680564819893335,0.6527655124664307,-0.10763505846261978,,,,,
0.5779119000000001,105.88,4449,83,38,169984,-0.0707321627647616,0.0001,0.26923248,820,0.400634765625,0.2,-0.55560039030388,0.002348169502329256,0.6505086421966553,-0.11061985045671463,,,,,
0.57850743,107.23,4501,84,38,172032,-0.06970687237917446,0.0001,0.2546989,830,0.439501953125,0.2,-0.5978838359937072,0.002727764004157507,0.5863400399684906,-0.1267760545015335,,,,,
0.59473445,110.07,4552,85,38,174080,-0.07147599145246204,0.0001,0.23746218,840,0.4279296875,0.2,-0.5990396587178111,0.002448567913961597,0.5918045043945312,-0.08790362626314163,,,,,
0.60960903,113.14,4602,86,38,176128,-0.07227639392658602,0.0001,0.23306929,850,0.410986328125,0.2,-0.5258890818804502,0.0025543447518430185,0.6213844418525696,-0.10097389668226242,,,,,
0.6340569900000002,123.83,4653,87,38,178176,-0.06859618246089667,0.0001,0.30072618,860,0.407470703125,0.2,-0.5533896784298122,0.0022127566579001725,0.6346078515052795,-0.07466166466474533,,,,,
0.63968304,124.15,4705,88,38,180224,-0.07363252648501657,0.0001,0.25590795,870,0.4208984375,0.2,-0.6104325817897915,0.0020318500331995893,0.642286092042923,-0.10017216950654984,,,,,
0.6594551599999998,125.22,4755,89,38,182272,-0.07784457692469005,0.0001,0.2824406,880,0.418017578125,0.2,-0.553435355052352,0.0026823036547284572,0.5781902968883514,-0.08390379697084427,,,,,
0.6821446899999999,135.78,4806,90,38,184320,-0.07043599774187896,0.0001,0.2765097,890,0.396240234375,0.2,-0.5353868385776878,0.002058704605951789,0.7226150929927826,-0.09694582968950272,,,,,
0.6834731000000001,140.82,4856,91,38,186368,-0.07273470116197131,0.0001,0.26128617,900,0.43525390625,0.2,-0.5919306609779597,0.0023335338510150905,0.6700812876224518,-0.11831308156251907,,,,,
0.6834186400000002,141.7,4907,92,38,188416,-0.07234223139821552,0.0001,0.28925192,910,0.421484375,0.2,-0.5631189540028572,0.0021138470370715367,0.6888740956783295,-0.10567237436771393,,,,,
0.67245972,135.33,4956,93,38,190464,-0.06431618599453941,0.0001,0.23092005,920,0.3650390625,0.2,-0.4857553624548018,0.0020909425222271237,0.7378809750080109,-0.07312043011188507,,,,,
0.6572248300000001,130.52,5006,94,38,192512,-0.0721446746494621,0.0001,0.24394438,930,0.3751953125,0.2,-0.5133812854066491,0.0022898316268765485,0.7117015421390533,-0.07959584146738052,,,,,
0.66349294,131.29,5055,95,38,194560,-0.06480901453469415,0.0001,0.24494801,940,0.37333984375,0.2,-0.4948302488774061,0.0022971746778239323,0.7001184821128845,-0.07598486542701721,,,,,
0.6596637200000001,126.31,5107,96,38,196608,-0.0639909230201738,0.0001,0.27964014,950,0.38203125,0.2,-0.5020470538176596,0.002407773755930975,0.7622395604848862,-0.09017661213874817,,,,,
0.6586262500000001,119.71,5159,97,38,198656,-0.0674348174710758,0.0001,0.23951267,960,0.37099609375,0.2,-0.5136948071420193,0.0022717611264852166,0.676559329032898,-0.0936211347579956,,,,,
,,,,,,-0.06647114072111435,0.0001,0.38059363,970,0.384130859375,0.2,-0.47909992607310414,0.0026308467851777094,0.644547164440155,-0.10136707872152328,0.10035,1.060221,0.6656928999999999,0.8567616330534811,0.18746386814410396
0.6656051399999998,121.79,5319,98,37,200704,,,,,,,,,,,,,,,
0.6656026199999999,125.26,5368,99,37,202752,-0.07115812686970457,0.0001,0.3107031,980,0.399169921875,0.2,-0.5371935893781483,0.002375577952807362,0.7109858393669128,-0.09240934997797012,,,,,
0.6677236400000001,130.14,5418,100,37,204800,-0.0707100194063969,0.0001,0.27029872,990,0.4234375,0.2,-0.5309324134141207,0.002553749662183691,0.6680337190628052,-0.09837061911821365,,,,,
0.68011512,134.68,5469,101,37,206848,-0.07624088159063831,0.0001,0.2664264,1000,0.429296875,0.2,-0.5943525610491633,0.002049999045812001,0.7193211019039154,-0.1201506033539772,,,,,
0.6645880099999999,130.46,5521,102,37,208896,-0.06938415249169338,0.0001,0.30120313,1010,0.40146484375,0.2,-0.5502114029601216,0.0024645819792567638,0.7291916608810425,-0.09921496361494064,,,,,
0.6590615799999999,133.76,5571,103,37,210944,-0.07135264276585077,0.0001,0.28647667,1020,0.402685546875,0.2,-0.5135329058393836,0.002699800032132771,0.7131096422672272,-0.08287616819143295,,,,,
0.6655340700000001,139.36,5618,104,37,212992,-0.0710528686089674,0.0001,0.23917341,1030,0.406201171875,0.2,-0.5470411285758019,0.00230611078786751,0.7071845829486847,-0.09958221763372421,,,,,
0.6781666300000001,136.77,5670,105,37,215040,-0.07571596582129132,0.0001,0.28313,1040,0.44306640625,0.2,-0.6011720165610314,0.002265873415672104,0.6442373991012573,-0.09470349550247192,,,,,
0.6638414200000001,132.85,5720,106,37,217088,-0.07335226142895408,0.0001,0.24390945,1050,0.40107421875,0.2,-0.5531529859639704,0.0022578710065317862,0.6657010912895203,-0.09770146012306213,,,,,
0.6546415999999999,129.88,5770,107,37,219136,-0.07680099062272347,0.0001,0.26005584,1060,0.4193359375,0.2,-0.5550573894754052,0.0023959281752468087,0.6989609897136688,-0.09589576721191406,,,,,
0.6571192299999999,137.64,5819,108,38,221184,-0.07329532614676282,0.0001,0.30452293,1070,0.405908203125,0.2,-0.5419690172187984,0.002366385935238213,0.6362969875335693,-0.10341079533100128,,,,,
0.6713871600000002,146.7,5869,109,38,223232,-0.07009811198804528,0.0001,0.32979426,1080,0.4076171875,0.2,-0.5192197709344327,0.0018214337182143937,0.7302505970001221,-0.0961245447397232,,,,,
0.6813936599999999,158.12,5917,110,38,225280,-0.07179621122195386,0.0001,0.2826661,1090,0.413720703125,0.2,-0.5618649921379983,0.0018783725625326042,0.7250191569328308,-0.08182208985090256,,,,,
0.6868533800000001,167.97,5962,111,38,227328,-0.07661563497094903,0.0001,0.35992318,1100,0.44296875,0.2,-0.5511617049574852,0.0013714531979530874,0.7441238760948181,-0.10284143686294556,,,,,
0.6887092100000001,167.42,6012,112,38,229376,-0.07454858150449581,0.0001,0.34169063,1110,0.473681640625,0.2,-0.5067993524484337,0.001422654018188041,0.7128777801990509,-0.10316884517669678,,,,,
0.66875016,168.07,6063,113,38,231424,-0.06504390164045618,0.0001,0.27154577,1120,0.37587890625,0.2,-0.4322417173534632,0.002223844036234368,0.6686415076255798,-0.07551659643650055,,,,,
0.6678751599999999,170.97,6114,114,38,233472,-0.06308430979843252,0.0001,0.33753625,1130,0.381298828125,0.2,-0.4475416812114418,0.002304637449378788,0.7052783370018005,-0.0919339656829834,,,,,
0.7044728800000002,178.02,6166,115,38,235520,-0.06590584975783713,0.0001,0.28731176,1140,0.384814453125,0.2,-0.4578513018786907,0.002170781327004079,0.6957910358905792,-0.09795652329921722,,,,,
0.7069564100000001,171.98,6215,116,38,237568,-0.06944646690390073,0.0001,0.34952167,1150,0.391357421875,0.2,-0.44393765069544316,0.002031569177233905,0.7751386016607285,-0.09377608448266983,,,,,
0.6957945000000001,160.79,6265,117,38,239616,-0.06702964189171326,0.0001,0.29795155,1160,0.402197265625,0.2,-0.4622139440849423,0.002131196295886184,0.7607155293226242,-0.10568751394748688,,,,,
0.68069981,137.3,6315,118,38,241664,-0.06918695166241377,0.0001,0.32720923,1170,0.4,0.2,-0.47396152168512345,0.002454767200288188,0.6602101922035217,-0.08950123190879822,,,,,
0.6855704999999999,135.76,6364,119,38,243712,-0.06733956750540529,0.0001,0.3116554,1180,0.395361328125,0.2,-0.48657331597059966,0.0027763291212977493,0.6236549615859985,-0.09148257970809937,,,,,
0.6801088599999998,133.29,6414,120,38,245760,-0.07696633058658335,0.0001,0.29237926,1190,0.42060546875,0.2,-0.5318296096287668,0.0024301937408381493,0.6599652469158173,-0.11633682250976562,,,,,
0.65815073,128.47,6465,121,38,247808,-0.0742138400208205,0.0001,0.41403693,1200,0.461572265625,0.2,-0.505372436158359,0.0023854129773098975,0.5919091701507568,-0.10168103128671646,,,,,
0.6382593400000001,126.88,6515,122,38,249856,-0.06994387303711846,0.0001,0.295869,1210,0.418798828125,0.2,-0.54088183529675,0.0023392085582599974,0.6452385485172272,-0.10323705524206161,,,,,
0.6374186900000001,129.72,6564,123,38,251904,-0.07573596612783148,0.0001,0.2729353,1220,0.428125,0.2,-0.5473892626352608,0.002274846229920513,0.6796617805957794,-0.1159060150384903,,,,,
0.65134623,136.91,6615,124,38,253952,-0.07346115293621551,0.0001,0.30821127,1230,0.42255859375,0.2,-0.5686139435507357,0.0018734272565779976,0.7331230938434601,-0.07922481745481491,,,,,
0.6744148500000001,144.19,6663,125,38,256000,-0.07951033008575906,0.0001,0.3013329,1240,0.4451171875,0.2,-0.5766643890179693,0.0018703121142607416,0.7375165820121765,-0.11281056702136993,,,,,
0.68354801,145.96,6712,126,38,258048,-0.07945587176945992,0.0001,0.29381248,1250,0.434765625,0.2,-0.5431716064922512,0.0021520356045584776,0.6884437203407288,-0.09993745386600494,,,,,
0.6882128299999999,146.61,6761,127,38,260096,-0.07235620142892003,0.0001,0.32497638,1260,0.437841796875,0.2,-0.5276156965643167,0.0025630248323068373,0.5868862867355347,-0.11662112176418304,,,,,
0.7102839499999999,147.97,6810,128,38,262144,-0.07694082942907698,0.0001,0.3038696,1270,0.432177734375,0.2,-0.5270607248879969,0.0025647486734669657,0.6566338837146759,-0.11540082097053528,,,,,
0.7212875599999999,150.86,6860,129,38,264192,-0.07213813061825931,0.0001,0.45961952,1280,0.4189453125,0.2,-0.494565016310662,0.002945132346576429,0.6047038733959198,-0.09120576083660126,,,,,
0.73479605,151.3,6914,130,38,266240,-0.07030306171800475,0.0001,0.3914438,1290,0.397314453125,0.2,-0.4670003982260823,0.002279684613313293,0.7422698438167572,-0.09310073405504227,,,,,
0.7113955900000001,141.1,6967,131,38,268288,-0.07017597043304705,0.0001,0.31963396,1300,0.414208984375,0.2,-0.48570978073403237,0.0025850896930933232,0.6915765106678009,-0.09984012693166733,,,,,
0.7153451599999999,136.17,7017,132,38,270336,-0.06728702181135304,0.0001,0.43865335,1310,0.3927734375,0.2,-0.4300499464385211,0.003087726181183825,0.7046553790569305,-0.08731222152709961,,,,,
0.69840898,134.73,7067,133,38,272384,-0.06662507971341255,0.0001,0.33547673,1320,0.38017578125,0.2,-0.44057445898652076,0.0028744269361595798,0.7538758814334869,-0.09676629304885864,,,,,
0.6819491200000001,128.43,7115,134,38,274432,-0.07015220720204525,0.0001,0.3046902,1330,0.416943359375,0.2,-0.4865296962670982,0.0034640981160919183,0.6851389706134796,-0.10459314286708832,,,,,
0.66800455,120.03,7167,135,38,276480,-0.06579474923200905,0.0001,0.39282888,1340,0.36650390625,0.2,-0.4421934469603002,0.0036983189056627452,0.6591271162033081,-0.09374015778303146,,,,,
0.6743047,118.3,7219,136,38,278528,-0.0714596446196083,0.0001,0.3342295,1350,0.413427734375,0.2,-0.48316647550091146,0.00325744451929495,0.6510603427886963,-0.09879555553197861,,,,,
0.67647659,117.91,7271,137,38,280576,-0.07200166874972638,0.0001,0.35695553,1360,0.40771484375,0.2,-0.4595116413198411,0.003269822444781312,0.6636791825294495,-0.1107226088643074,,,,,
0.66080973,112.6,7321,138,38,282624,-0.06785228954977356,0.0001,0.35365304,1370,0.39091796875,0.2,-0.4475147821009159,0.0026406822156786803,0.7518034875392914,-0.09070122241973877,,,,,
0.65133068,108.47,7373,139,38,284672,-0.06573457564518322,0.0001,0.35630217,1380,0.3904296875,0.2,-0.4256153279915452,0.0031285389017284616,0.7241142094135284,-0.10913977771997452,,,,,
0.6851827099999999,111.82,7423,140,38,286720,-0.06418802774860524,0.0001,0.37253702,1390,0.386962890625,0.2,-0.42280683014541864,0.0038083716586697846,0.6691600680351257,-0.0756540596485138,,,,,
0.6833725899999998,114.23,7473,141,38,288768,-0.06815344562346581,0.0001,0.3102755,1400,0.385302734375,0.2,-0.4500145440921187,0.0026221479103696764,0.6424260139465332,-0.09533166885375977,,,,,
0.6757948500000001,117.25,7524,142,38,290816,-0.06860939280013553,0.0001,0.41082054,1410,0.399560546875,0.2,-0.42449978925287724,0.002666355226938322,0.638241320848465,-0.036986034363508224,,,,,
