#{"t_start": 1746744840.35109, "env_id": "None"}
r,l,t
-330.0,75,276.383135
59.0,11,276.531137
-335.0,75,278.458238
68.0,7,278.676238
-350.0,75,280.077662
83.0,5,280.244674
-325.0,75,281.167683
-350.0,75,282.456807
-340.0,75,284.009917
-350.0,75,285.705095
9.0,21,286.07815
-12.0,25,286.62616
-320.0,75,288.187894
59.0,10,288.247895
91.0,3,288.255896
83.0,5,288.356896
10.0,21,288.729895
54.0,11,288.834894
2.0,24,289.322054
-330.0,75,290.674366
-320.0,75,292.001515
-355.0,75,293.493513
67.0,9,293.608514
-55.0,37,294.353555
95.0,2,294.381557
-340.0,75,295.763682
-97.0,45,296.315957
-325.0,75,297.714084
-345.0,75,298.650176
-320.0,75,300.130297
0.0,22,300.469342
-335.0,75,302.013522
-345.0,75,303.402826
-2.0,24,303.807837
18.0,20,304.248954
-350.0,75,305.487083
-140.0,52,306.081126
-320.0,75,307.510247
-220.0,72,308.738411
-335.0,75,310.457533
-325.0,75,312.432581
-53.0,34,313.252647
-330.0,75,314.589852
-325.0,75,316.333211
95.0,2,316.375211
95.0,2,316.380211
-340.0,75,317.496329
-335.0,75,318.401414
-113.0,49,319.421477
87.0,4,319.514473
87.0,4,319.528474
-345.0,75,321.25862
-335.0,75,323.008853
-48.0,33,323.619868
-10.0,27,324.116876
-315.0,75,326.242055
-345.0,75,328.382478
-30.0,32,329.223238
-55.0,37,330.037125
-70.0,39,331.205239
-335.0,75,332.546447
-335.0,75,334.32128
-340.0,75,336.418623
-325.0,75,338.393858
-335.0,75,339.644325
-320.0,75,341.124567
95.0,2,341.184362
-315.0,75,342.946366
-71.0,41,344.146785
-144.0,53,345.990462
-345.0,75,347.952346
-330.0,75,349.524497
-335.0,75,351.278665
18.0,20,351.841322
95.0,2,351.901852
-345.0,75,353.321382
91.0,3,353.37684
87.0,4,353.46767
95.0,2,353.482789
95.0,2,353.539491
-340.0,75,355.510119
95.0,2,355.567674
-345.0,75,357.100965
-139.0,53,358.217336
-98.0,44,359.404998
-330.0,75,360.894462
-335.0,75,362.731789
-44.0,33,363.215868
-325.0,75,364.901196
-330.0,75,366.338689
-335.0,75,367.797749
-37.0,30,368.468645
-325.0,75,370.000273
-325.0,75,371.908763
95.0,2,372.078123
-325.0,75,373.946756
-320.0,75,375.690853
-335.0,75,377.31532
-340.0,75,378.946232
-335.0,75,380.481662
-345.0,75,381.936167
-325.0,75,383.337684
-141.0,56,384.155908
21.0,18,384.588985
87.0,4,384.647333
91.0,3,384.712612
-52.0,35,385.657642
-335.0,75,387.073102
-325.0,75,388.563015
91.0,3,388.641055
-37.0,30,389.372649
91.0,3,389.393221
-35.0,32,390.000816
-217.0,69,391.372199
-340.0,75,393.131811
-330.0,75,394.827787
95.0,2,394.862795
-330.0,75,396.549472
-335.0,75,398.025162
-345.0,75,399.705438
-335.0,75,401.277252
-315.0,75,402.990377
-8.0,24,403.520392
-315.0,75,405.280446
-335.0,75,406.635482
-335.0,75,408.127336
-320.0,75,409.991422
-315.0,75,411.66735
87.0,4,411.776761
-117.0,50,412.806351
-300.0,75,415.486135
-300.0,75,417.097549
-300.0,75,418.229578
-300.0,75,419.861102
-300.0,75,421.757414
-320.0,75,423.635611
87.0,4,423.865839
-340.0,75,425.750559
-325.0,75,427.273307
-340.0,75,428.783838
79.0,6,428.953906
-129.0,53,430.3769
-310.0,75,432.289546
-208.0,69,433.750557
87.0,4,433.919845
-335.0,75,435.563463
-315.0,75,437.788397
91.0,3,437.811565
-140.0,52,438.91932
-310.0,75,441.202497
-335.0,75,442.566184
-118.0,48,443.818892
-330.0,75,445.777647
83.0,5,445.951119
39.0,16,446.231912
-237.0,75,447.93001
-340.0,75,449.600116
26.0,18,449.962183
-123.0,49,450.866216
-315.0,75,452.607416
-151.0,61,454.101301
4.0,21,454.699382
-330.0,75,456.312594
-340.0,75,458.21942
-315.0,75,459.993861
39.0,16,460.40484
-340.0,75,461.915635
-320.0,75,463.672572
-340.0,75,465.548599
-186.0,71,467.518437
-162.0,60,468.657047
-330.0,75,470.645443
-325.0,75,472.346155
-325.0,75,474.704828
-340.0,75,476.558601
-340.0,75,478.572702
-55.0,37,479.584813
-330.0,75,481.221452
95.0,2,481.282973
-315.0,75,483.030828
-330.0,75,484.747062
-325.0,75,486.618996
-130.0,52,487.707034
-320.0,75,489.256993
-330.0,75,490.722795
-325.0,75,492.400941
95.0,2,492.413451
-345.0,75,494.130373
-330.0,75,495.982651
-325.0,75,497.793313
-325.0,75,499.500883
47.0,14,499.785958
-310.0,75,501.763331
-305.0,75,503.32819
-71.0,41,504.276128
-330.0,75,506.55969
-330.0,75,508.246023
-320.0,75,510.156735
-330.0,75,511.546392
-315.0,75,513.673854
-157.0,60,514.997501
-215.0,72,516.475382
-330.0,75,518.483911
-154.0,58,519.700443
-310.0,75,521.327027
-310.0,75,523.232472
-320.0,75,524.908442
91.0,3,524.928449
75.0,7,525.073254
-38.0,34,526.112255
-315.0,75,528.156884
-310.0,75,530.639672
-325.0,75,532.324165
-320.0,75,533.920803
-77.0,39,535.00626
-68.0,39,535.763989
-330.0,75,537.857676
-315.0,75,539.850962
19.0,21,540.489366
-345.0,75,542.330405
-169.0,60,543.392587
-310.0,75,545.526355
-325.0,75,546.981835
-310.0,75,548.677095
-41.0,36,549.485475
-10.0,27,550.178205
-9.0,28,550.988218
-315.0,75,552.609753
-315.0,75,554.84067
-305.0,75,556.104848
19.0,21,556.758498
-305.0,75,558.336771
-82.0,45,559.283808
