time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/explained_variance,train/learning_rate,train/loss,train/entropy_loss,train/n_updates,train/clip_range,train/value_loss,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/mean_reward,train/max_reward,train/min_reward,eval/mean_reward,train/std_reward
2444,312.2,46,38,94208,-8.849514,0.15276390314102173,0.0001,-0.10722162574529648,-0.5692773876711726,450,0.2,0.05016259721305687,0.417919921875,0.15093209,-0.07270449352217838,,,,,
2498,314.65,47,38,96256,-8.913318,-0.006342291831970215,0.0001,-0.05693220719695091,-0.6198446732014418,460,0.2,0.060859206761233506,0.417919921875,0.12554681,-0.07195406989776529,,,,,
2550,316.65,48,38,98304,-8.944704000000002,-0.10474395751953125,0.0001,-0.11762188374996185,-0.6084206162951886,470,0.2,0.05799007426394383,0.44619140625,0.14625081,-0.081625057925703,,,,,
,,,,,,-0.022673845291137695,0.0001,-0.08792440593242645,-0.6312740514054894,480,0.2,0.07372804319602437,0.4220703125,0.122393854,-0.07355894010397605,-8.658289000000002,-3.6415,-15.8411,-5.5963401337852705,4.029868291790564
2608,304.05,49,38,100352,-8.698089000000001,,,,,,,,,,,,,,,
2661,305.78,50,38,102400,-8.702515,-0.008893370628356934,0.0001,-0.08558517694473267,-0.6148782728239894,490,0.2,0.08147943165240576,0.434765625,0.109273545,-0.07809240628266707,,,,,
2713,297.82,51,38,104448,-8.544507999999999,0.0290411114692688,0.0001,-0.07644832134246826,-0.5922717733308673,500,0.2,0.0800838748094975,0.436962890625,0.14416951,-0.07913476767134853,,,,,
2764,281.27,52,38,106496,-8.114358,0.1151200532913208,0.0001,-0.07468029111623764,-0.5789486165158451,510,0.2,0.08250888409675099,0.41376953125,0.1383942,-0.07322188578546047,,,,,
2818,277.46,53,38,108544,-8.007172,0.021768629550933838,0.0001,-0.09754098206758499,-0.5969809549860656,520,0.2,0.09677100901026278,0.426953125,0.1305323,-0.07789014855807182,,,,,
2870,268.77,54,38,110592,-7.785397000000001,-0.04214179515838623,0.0001,-0.1071515902876854,-0.5670477558858693,530,0.2,0.062653749276069,0.450341796875,0.18767673,-0.08026849434245378,,,,,
2925,269.35,55,38,112640,-7.7581830000000025,0.10913699865341187,0.0001,-0.0924769937992096,-0.56034225365147,540,0.2,0.07189228163042571,0.42509765625,0.13880065,-0.07862205877027009,,,,,
2980,269.08,56,38,114688,-7.696383999999999,0.033602774143218994,0.0001,-0.11073567718267441,-0.5413792427629233,550,0.2,0.06297226168244378,0.437646484375,0.16546707,-0.07809351322357543,,,,,
3035,267.16,57,38,116736,-7.643878999999999,-0.10193765163421631,0.0001,-0.1253262758255005,-0.5150708509609103,560,0.2,0.06589796603511786,0.423681640625,0.22124906,-0.07406472070724704,,,,,
3088,247.44,58,38,118784,-7.149146999999999,0.09369528293609619,0.0001,-0.10814586281776428,-0.5668386198580265,570,0.2,0.0579103638563538,0.439404296875,0.18967673,-0.08121625379717443,,,,,
3141,249.81,59,38,120832,-7.191942999999998,0.05339610576629639,0.0001,-0.0978865772485733,-0.5989660928957165,580,0.2,0.06632505788875279,0.454736328125,0.16413632,-0.07918821749190101,,,,,
3195,254.9,60,38,122880,-7.344731000000001,0.09859347343444824,0.0001,-0.12005813419818878,-0.600826315023005,590,0.2,0.06683944725518813,0.459375,0.1596576,-0.08098707361787091,,,,,
3246,257.64,61,38,124928,-7.413969000000002,0.10343307256698608,0.0001,-0.09949025511741638,-0.5814607113599777,600,0.2,0.06941188464552397,0.439501953125,0.15121654,-0.07638293248601258,,,,,
3298,254.23,62,38,126976,-7.319777999999998,0.22880440950393677,0.0001,-0.1123582199215889,-0.5827358312904835,610,0.2,0.06224072099576006,0.434814453125,0.1576465,-0.07773913468117825,,,,,
3351,262.84,63,38,129024,-7.539966,0.19797885417938232,0.0001,-0.08476737141609192,-0.6347825037315488,620,0.2,0.07976448290573898,0.452099609375,0.1327387,-0.07944799420656637,,,,,
3402,267.31,64,38,131072,-7.586665999999999,0.01881229877471924,0.0001,-0.06183365732431412,-0.5590325482189655,630,0.2,0.06009287273773225,0.43359375,0.14804745,-0.07803517475549597,,,,,
3456,273.04,65,38,133120,-7.744264,0.027635812759399414,0.0001,-0.10536409169435501,-0.605025539547205,640,0.2,0.06972103092557518,0.45205078125,0.15704782,-0.08232506638159975,,,,,
3510,266.91,66,38,135168,-7.587878999999999,0.004091084003448486,0.0001,-0.09001068770885468,-0.6235789665952325,650,0.2,0.06406624620722141,0.45263671875,0.13213001,-0.07891221669560763,,,,,
3564,269.18,67,38,137216,-7.658465999999999,-0.03435182571411133,0.0001,-0.10683903098106384,-0.6835799420252442,660,0.2,0.08893895525252446,0.4767578125,0.118182905,-0.08696263167075813,,,,,
3618,244.43,68,38,139264,-7.102255999999999,0.024073481559753418,0.0001,-0.0873776376247406,-0.6094346893951297,670,0.2,0.08769686159212142,0.428466796875,0.12088792,-0.07830449909088202,,,,,
3670,240.7,69,38,141312,-7.007566999999999,-0.10915517807006836,0.0001,-0.12487069517374039,-0.676742103137076,680,0.2,0.08131793858628952,0.47548828125,0.13164665,-0.08598694468673784,,,,,
3723,243.66,70,38,143360,-7.112334999999999,-0.3728187084197998,0.0001,-0.10303076356649399,-0.6273828510195016,690,0.2,0.06532107854509377,0.47333984375,0.16207914,-0.08878281987854279,,,,,
3777,249.95,71,38,145408,-7.247769999999999,-0.08984780311584473,0.0001,-0.10792658478021622,-0.6522265816107392,700,0.2,0.0660220256744651,0.47255859375,0.12908515,-0.08829738760832698,,,,,
3830,247.21,72,38,147456,-7.189574000000001,0.003936052322387695,0.0001,-0.09781982749700546,-0.597454877756536,710,0.2,0.0591341237850429,0.47431640625,0.1809279,-0.08553494166699238,,,,,
3884,251.37,73,38,149504,-7.282596,-0.10272538661956787,0.0001,-0.11248993873596191,-0.6316685957834125,720,0.2,0.07138493363308954,0.459619140625,0.13421552,-0.08594233844196424,,,,,
3937,247.37,74,38,151552,-7.1604980000000005,0.03863424062728882,0.0001,-0.08906149864196777,-0.5932460883632302,730,0.2,0.07599990965391043,0.45400390625,0.14295256,-0.0812409937789198,,,,,
3989,253.77,75,38,153600,-7.304278,0.24162840843200684,0.0001,-0.09910384565591812,-0.5799360080622137,740,0.2,0.06591010748816188,0.43408203125,0.1395489,-0.08098435972060543,,,,,
4043,247.14,76,38,155648,-7.183579000000001,0.03804558515548706,0.0001,-0.10635580867528915,-0.5946848509833217,750,0.2,0.06589218089793576,0.45146484375,0.1544128,-0.07539244840154424,,,,,
4095,248.5,77,38,157696,-7.211185,0.2598569989204407,0.0001,-0.10144636034965515,-0.5664237168617546,760,0.2,0.06766563928395045,0.45,0.15989162,-0.07946686741197481,,,,,
4150,249.27,78,38,159744,-7.212371999999999,0.29255884885787964,0.0001,-0.09921537339687347,-0.6012132303789258,770,0.2,0.07149019833304919,0.43828125,0.14109401,-0.07479962303186767,,,,,
4202,257.61,79,38,161792,-7.436948999999999,0.25462204217910767,0.0001,-0.102157361805439,-0.5830178283154964,780,0.2,0.06951105466141598,0.458447265625,0.16782826,-0.08018124680966139,,,,,
4253,255.1,80,38,163840,-7.353984,-0.10661053657531738,0.0001,-0.09529169648885727,-0.548288048338145,790,0.2,0.07149604421574622,0.444189453125,0.1819236,-0.07770848802174442,,,,,
4305,253.32,81,38,165888,-7.291663,0.026067018508911133,0.0001,-0.07468700408935547,-0.6165583393536508,800,0.2,0.08580268119549146,0.445263671875,0.13728009,-0.07774683274328709,,,,,
4356,240.15,82,38,167936,-6.9348529999999995,0.07482081651687622,0.0001,-0.11806017905473709,-0.5975772281177342,810,0.2,0.07508351167125511,0.44697265625,0.1603842,-0.08340792520029935,,,,,
4410,235.25,83,38,169984,-6.801109,0.07735949754714966,0.0001,-0.0856330543756485,-0.551206405647099,820,0.2,0.08680957405595109,0.41259765625,0.12294893,-0.06617556675628293,,,,,
4462,224.99,84,38,172032,-6.533625,0.20052194595336914,0.0001,-0.07150563597679138,-0.571855379641056,830,0.2,0.0683662770446972,0.4392578125,0.15051484,-0.07906039807712659,,,,,
4513,225.66,85,38,174080,-6.586454999999998,-0.15066015720367432,0.0001,0.02566785365343094,-0.5665183120407165,840,0.2,0.09953520445997129,0.4146484375,0.121202305,-0.0738329289975809,,,,,
4566,218.94,86,38,176128,-6.407088,0.11338585615158081,0.0001,-0.09949418157339096,-0.5966687647625804,850,0.2,0.07337142722826684,0.4384765625,0.1332525,-0.07670876910269726,,,,,
